SAngle,Nrplies,Stepply,SymLam,Thickpl,S11,S22,Thick,min_val
0,9,20,1,1,5130.498047,290.588348,2.286,1.864587515
0,9,20,1,2,2557.317871,145.673767,4.572,1.343107408
0,9,25,0,1,5864.857422,364.594177,2.286,2.162292501
0,9,25,0,2,2945.240479,182.633591,4.572,1.49575603
0,9,25,1,1,5404.020508,321.778076,2.286,1.983310226
0,9,25,1,2,2677.469971,157.584763,4.572,1.391389431
0,9,30,0,1,6978.033203,413.862274,2.286,2.477538575
0,9,30,0,2,3426.814453,199.60762,4.572,1.622751753
0,9,30,1,1,7032.443359,419.453369,2.286,2.499829333
0,9,30,1,2,3463.94165,203.427536,4.572,1.63797238
0,9,35,0,1,5778.515137,352.403687,2.286,2.119745506
0,9,35,0,2,2876.88501,174.252792,4.572,1.464818733
0,9,35,1,1,5526.850586,333.349121,2.286,2.031359341
0,9,35,1,2,2728.052734,162.865433,4.572,1.412291364
0,9,40,0,1,5517.295898,323.219879,2.286,2.007666773
0,9,40,0,2,2754.78833,165.86937,4.572,1.423799288
0,9,40,1,1,4737.150391,271.999969,2.286,1.750643739
0,9,40,1,2,2358.178467,136.195984,4.572,1.285276266
0,9,45,0,1,9128.59082,525.904114,2.286,3.123020755
0,9,45,0,2,4636.196289,265.941803,4.572,1.992936108
0,9,45,1,1,8427.145508,438.775604,2.286,2.803113791
0,9,45,1,2,4208.161621,218.888626,4.572,1.810943009
0,9,50,0,1,6539.246582,371.149811,2.286,2.302914812
0,9,50,0,2,3246.367188,183.420975,4.572,1.55391974
0,9,50,1,1,6384.813965,359.998596,2.286,2.249847961
0,9,50,1,2,3161.841553,177.329102,4.572,1.524899566
0,9,55,0,1,5304.5,314.669464,2.286,1.949280159
0,9,55,0,2,2617.841309,153.074753,4.572,1.370457684
0,9,55,1,1,5332.98877,324.595703,2.286,1.976083941
0,9,55,1,2,2643.74585,158.633698,4.572,1.387334126
0,10,5,0,1,22580.00586,2060.984619,2.54,8.994734059
0,10,5,0,2,14079.98828,957.403442,5.08,5.319659299
0,10,5,1,1,21782.67578,2561.571777,2.54,9.927585281
0,10,5,1,2,13218.58789,1183.949707,5.08,5.647976488
0,10,10,0,1,11931.00879,796.319336,2.54,4.263635685
0,10,10,0,2,5463.687988,371.846252,5.08,2.438033394
0,10,10,1,1,12506.8877,855.59314,2.54,4.499772556
0,10,10,1,2,5895.40918,396.010742,5.08,2.571228663
0,10,15,0,1,5288.782715,400.436707,2.54,2.162255855
0,10,15,0,2,2712.337402,207.520126,5.08,1.566855427
0,10,15,1,1,4126.336914,262.943665,2.54,1.647015015
0,10,15,1,2,2050.554443,128.226349,5.08,1.271325118
0,10,20,0,1,6293.521484,407.70517,2.54,2.36635997
0,10,20,0,2,3177.588623,207.54631,5.08,1.654146645
0,10,20,1,1,5119.492676,286.178009,2.54,1.883468139
0,10,20,1,2,2552.978516,143.145508,5.08,1.397787273
0,10,25,0,1,5487.003906,333.005005,2.54,2.053624054
0,10,25,0,2,2697.723389,160.963806,5.08,1.463452986
0,10,25,1,1,5464.896973,331.526245,2.54,2.046281685
0,10,25,1,2,2695.366455,160.23616,5.08,1.461437772
0,10,30,0,1,6976.987793,406.880798,2.54,2.492727477
0,10,30,0,2,3426.113525,196.614136,5.08,1.677107931
